source_url,target_url,anchor_text,insertion_context,reason,confidence,issue_type,status
https://vertigostudio.co/psychological-theories-to-rocket-your-content-marketing/,https://vertigostudio.co/digital-marketing-strategy/,Marketing,"rl"":""https://vertigostudio.co/"",""name"":""Vertigo Studio"",""description"":""Boutique Digital Marketing Agency"",""publisher"":{""@id"":""https://vertigostudio.co/#organization""},""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint""","Target has only 1 inbound internal links; topical overlap on digital, marketing, strategy, studio, vertigo; source does not already link to target.",65,weak_link,pending
https://vertigostudio.co/mac-mail/,https://vertigostudio.co/digital-marketing-strategy/,Marketing,"rl"":""https://vertigostudio.co/"",""name"":""Vertigo Studio"",""description"":""Boutique Digital Marketing Agency"",""publisher"":{""@id"":""https://vertigostudio.co/#organization""},""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint""","Target has only 1 inbound internal links; topical overlap on digital, marketing, studio, vertigo; source does not already link to target.",59,weak_link,pending
https://vertigostudio.co/mac-mail/,https://vertigostudio.co/mozilla-thunderbird/,Thunderbird,"ent to consider for every website project. By default, Joomla isn’t slow but... Mozilla Thunderbird 3 Feb 12 | Email , Tutorials Open Thunderbird. Select Edit and load the tab, Account Settings. Click Account Actions then select Add Mail Ac","Target has only 1 inbound internal links; topical overlap on mozilla, studio, thunderbird, vertigo; source does not already link to target.",59,weak_link,pending
https://vertigostudio.co/mac-mail/,https://vertigostudio.co/psychological-theories-to-rocket-your-content-marketing/,Marketing,"ostudio.co/mac-mail/#primaryimage""},""thumbnailUrl"":""https://vertigostudio.co/wp-content/uploads/2018/02/Mac-Mail.jpg"",""articleSection"":[""Email"",""Tutorials""],""inLanguage"":""en-US"",""potentialAction"":[{""@type"":""CommentAction"",""name"":""Comment"",""","Target has only 1 inbound internal links; topical overlap on content, marketing, studio, vertigo, your; source does not already link to target.",59,weak_link,pending
https://vertigostudio.co/mozilla-thunderbird-3/,https://vertigostudio.co/digital-marketing-strategy/,Marketing,"rl"":""https://vertigostudio.co/"",""name"":""Vertigo Studio"",""description"":""Boutique Digital Marketing Agency"",""publisher"":{""@id"":""https://vertigostudio.co/#organization""},""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint""","Target has only 1 inbound internal links; topical overlap on digital, marketing, studio, vertigo; source does not already link to target.",56,weak_link,pending
https://vertigostudio.co/mozilla-thunderbird/,https://vertigostudio.co/digital-marketing-strategy/,Marketing,"rl"":""https://vertigostudio.co/"",""name"":""Vertigo Studio"",""description"":""Boutique Digital Marketing Agency"",""publisher"":{""@id"":""https://vertigostudio.co/#organization""},""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint""","Target has only 1 inbound internal links; topical overlap on digital, marketing, studio, vertigo; source does not already link to target.",56,weak_link,pending
https://vertigostudio.co/how-to-keep-your-joomla-site-from-being-hacked/,https://vertigostudio.co/mozilla-thunderbird/,Thunderbird,"and then select Preferences. Click the Accounts tab, then click the + button... Mozilla Thunderbird 3 Feb 12 | Email , Tutorials Open Thunderbird. Select Edit and load the tab, Account Settings. Click Account Actions then select Add Mail Ac","Target has only 1 inbound internal links; topical overlap on mozilla, studio, thunderbird, vertigo; source does not already link to target.",56,weak_link,pending
https://vertigostudio.co/how-to-keep-your-joomla-site-from-being-hacked/,https://vertigostudio.co/psychological-theories-to-rocket-your-content-marketing/,Marketing,"e-from-being-hacked/#primaryimage""},""thumbnailUrl"":""https://vertigostudio.co/wp-content/uploads/2013/12/Being-Hacked.jpg"",""articleSection"":[""Joomla"",""Tutorials""],""inLanguage"":""en-US"",""potentialAction"":[{""@type"":""CommentAction"",""name"":""Comme","Target has only 1 inbound internal links; topical overlap on content, marketing, studio, vertigo, your; source does not already link to target.",56,weak_link,pending
https://vertigostudio.co/mozilla-thunderbird-3/,https://vertigostudio.co/psychological-theories-to-rocket-your-content-marketing/,Marketing,"zilla-thunderbird-3/#primaryimage""},""thumbnailUrl"":""https://vertigostudio.co/wp-content/uploads/2018/02/Mozilla-Thunderbird-3.jpg"",""articleSection"":[""Email"",""Tutorials""],""inLanguage"":""en-US"",""potentialAction"":[{""@type"":""CommentAction"",""name","Target has only 1 inbound internal links; topical overlap on content, marketing, studio, vertigo, your; source does not already link to target.",56,weak_link,pending
https://vertigostudio.co/mozilla-thunderbird/,https://vertigostudio.co/psychological-theories-to-rocket-your-content-marketing/,Marketing,"mozilla-thunderbird/#primaryimage""},""thumbnailUrl"":""https://vertigostudio.co/wp-content/uploads/2018/02/Mozilla-Thunderbird.jpg"",""articleSection"":[""Email"",""Tutorials""],""inLanguage"":""en-US"",""potentialAction"":[{""@type"":""CommentAction"",""name"":","Target has only 1 inbound internal links; topical overlap on content, marketing, studio, vertigo, your; source does not already link to target.",56,weak_link,pending
